t    f(t)
begin
0.0044555511  56.81787900187844
0.004461106649999999  57.16761378651067
0.0044666622  57.17780824267254
0.00447221775  57.346627556937435
0.0044777733  57.57320435339921
0.00448332885  58.08523323627195
0.0044888843999999995  74.39417766072418
0.00449443995  73.34575854257383
0.004499995499999999  73.80869652034275
0.00450555105  76.88250392353513
0.0045111066  77.19700311333807
0.00451666215  77.49673932326219
0.0045222177  58.88135418076997
0.0045277732499999996  59.09843229538399
0.0045333288  59.375136919841836
0.0045388843499999994  59.72285376016504
0.0045444399  60.11616271610475
0.004549995449999999  58.90072916674679
0.004555551  59.2156055572608
0.00456110655  78.5384019079309
0.0045666621  78.71239669466577
